3,BSIT,Bachelor of Science in Information Technology
4,BSHM,Bachelor of Science in Hospitality Management
5,BSBA,Bachelor of Science in Business Administration
7,BSTM,Bachelor of Science in Tourism
8,BSCS,Bachelor of Science in Computer Science
9,BSCpE,Bachelor of Science in Computer Engineer
10,BSIS,Bachelor of Science in Information Systems
11,BSSS,Bachelor of Science in Social Science
12,BSPS,Bachelor of Science in Political Science
13,BSCE,Bachelor of Science in Civil Engineer
14,BSIE,Bachelor of Science in Industrial Engineer
15,BSME,Bachelor of Science in Mechanical Engineer
18,BSN,Bachelor of Science in Nursing
